UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature Difference [k],Any Failure
1,M14860,2,0.3043478260869534,0.3580246913580325,0.2229336437718277,0.5357142857142856,0.0,0,0,0,0,0,0,0.05367686527107912,0
2,L47181,1,0.3152173913043441,0.3703703703703738,0.139697322467986,0.5837912087912087,0.0118577075098814,0,0,0,0,0,0,0.05515297906602967,0
3,L47182,1,0.3043478260869534,0.3456790123456841,0.1920838183934808,0.6263736263736263,0.0197628458498023,0,0,0,0,0,0,0.04133118625873072,0
4,L47183,1,0.3152173913043441,0.3580246913580325,0.1542491268917346,0.4903846153846153,0.0276679841897233,0,0,0,0,0,0,0.04280730005368838,0
5,L47184,1,0.3152173913043441,0.3703703703703738,0.139697322467986,0.4972527472527473,0.0355731225296442,0,0,0,0,0,0,0.05515297906602967,0
6,M14865,2,0.3043478260869534,0.3580246913580325,0.1495925494761351,0.5233516483516483,0.0434782608695652,0,0,0,0,0,0,0.05367686527107912,0
7,L47186,1,0.3043478260869534,0.3580246913580325,0.2270081490104774,0.5302197802197801,0.0553359683794466,0,0,0,0,0,0,0.05367686527107912,0
8,L47187,1,0.3043478260869534,0.3580246913580325,0.2089639115250291,0.5,0.0632411067193675,0,0,0,0,0,0,0.05367686527107912,0
9,M14868,2,0.3260869565217348,0.3703703703703738,0.290454016298021,0.3406593406593406,0.0711462450592885,0,0,0,0,0,0,0.044283413848638986,0
10,M14869,2,0.3478260869565162,0.4074074074074119,0.3335273573923166,0.3324175824175824,0.0830039525691699,0,0,0,0,0,0,0.0595813204508957,0
11,H29424,0,0.3369565217391255,0.3950617283950635,0.3573923166472642,0.2760989010989011,0.0948616600790513,0,0,0,0,0,0,0.05810520665593799,0
12,H29425,0,0.3586956521739139,0.4197530864197603,0.1484284051222352,0.5563186813186812,0.1146245059288537,0,0,0,0,0,0,0.061057434245846365,0
13,M14872,2,0.3586956521739139,0.4197530864197603,0.09953434225844,0.6497252747252747,0.1343873517786561,0,0,0,0,0,0,0.061057434245846365,0
14,M14873,2,0.3586956521739139,0.4320987654321016,0.3341094295692667,0.3598901098901099,0.1462450592885375,0,0,0,0,0,0,0.07340311325818766,0
15,L47194,1,0.3586956521739139,0.4320987654321016,0.5046565774155997,0.2170329670329671,0.1581027667984189,0,0,0,0,0,0,0.07340311325818766,0
16,L47195,1,0.3586956521739139,0.4320987654321016,0.2176949941792783,0.6126373626373626,0.1660079051383399,0,0,0,0,0,0,0.07340311325818766,0
17,M14876,2,0.3586956521739139,0.4320987654321016,0.0832363213038417,0.5879120879120879,0.1739130434782608,0,0,0,0,0,0,0.07340311325818766,0
18,M14877,2,0.3695652173912975,0.4320987654321016,0.1408614668218859,0.5741758241758241,0.1857707509881422,0,0,0,0,0,0,0.06253354804080408,0
19,H29432,0,0.3804347826086953,0.4320987654321016,0.080325960419092,0.6964285714285714,0.1976284584980237,0,0,0,0,0,0,0.051663982823406285,0
20,M14879,2,0.3913043478260789,0.4444444444444499,0.270081490104773,0.3942307692307692,0.217391304347826,0,0,0,0,0,0,0.05314009661837099,0
21,H29434,0,0.3913043478260789,0.4444444444444499,0.120488940628638,0.5343406593406593,0.2292490118577075,0,0,0,0,0,0,0.05314009661837099,0
22,L47201,1,0.3804347826086953,0.4444444444444499,0.1641443538998837,0.5631868131868131,0.2490118577075098,0,0,0,0,0,0,0.06400966183575463,0
23,M14882,2,0.3913043478260789,0.4444444444444499,0.2403958090803259,0.3695054945054945,0.2569169960474308,0,0,0,0,0,0,0.05314009661837099,0
24,L47203,1,0.4021739130434767,0.4567901234567912,0.3434225844004658,0.3008241758241758,0.2687747035573122,0,0,0,0,0,0,0.05461621041331449,0
25,M14884,2,0.4021739130434767,0.4567901234567912,0.2287543655413272,0.4601648351648351,0.2766798418972331,0,0,0,0,0,0,0.05461621041331449,0
26,L47205,1,0.4021739130434767,0.4691358024691396,0.4033760186263097,0.2678571428571429,0.2885375494071146,0,0,0,0,0,0,0.06696188942566289,0
27,L47206,1,0.4130434782608674,0.4691358024691396,0.2002328288707799,0.4835164835164835,0.2964426877470355,0,0,0,0,0,0,0.056092324208272204,0
28,H29441,0,0.4130434782608674,0.4567901234567912,0.3742724097788127,0.2857142857142857,0.3043478260869565,0,0,0,0,0,0,0.043746645195923806,0
29,L47208,1,0.4130434782608674,0.4567901234567912,0.1577415599534343,0.554945054945055,0.3241106719367588,0,0,0,0,0,0,0.043746645195923806,0
30,L47209,1,0.4021739130434767,0.4567901234567912,0.3055878928987194,0.3612637362637363,0.3320158102766798,0,0,0,0,0,0,0.05461621041331449,0
31,M14890,2,0.4130434782608674,0.4691358024691396,0.09953434225844,0.6098901098901098,0.3399209486166007,0,0,0,0,0,0,0.056092324208272204,0
32,L47211,1,0.4021739130434767,0.4567901234567912,0.3667054714784633,0.2980769230769231,0.3517786561264822,0,0,0,0,0,0,0.05461621041331449,0
33,L47212,1,0.4021739130434767,0.4567901234567912,0.1461001164144354,0.6112637362637362,0.3596837944664031,0,0,0,0,0,0,0.05461621041331449,0
34,L47213,1,0.3913043478260789,0.4444444444444499,0.2892898719441211,0.3942307692307692,0.3675889328063241,0,0,0,0,0,0,0.05314009661837099,0
35,M14894,2,0.3804347826086953,0.4197530864197603,0.2275902211874273,0.4244505494505495,0.375494071146245,0,0,0,0,0,0,0.03931830381106499,0
36,M14895,2,0.3804347826086953,0.4320987654321016,0.1653084982537834,0.6153846153846153,0.3873517786561264,0,0,0,0,0,0,0.051663982823406285,0
37,M14896,2,0.3913043478260789,0.4320987654321016,0.2403958090803259,0.4519230769230769,0.3992094861660079,0,0,0,0,0,0,0.04079441760602265,0
38,L47217,1,0.3804347826086953,0.4197530864197603,0.1577415599534343,0.4862637362637363,0.4110671936758893,0,0,0,0,0,0,0.03931830381106499,0
39,H29452,0,0.3913043478260789,0.4320987654321016,0.1228172293364378,0.6442307692307693,0.4189723320158102,0,0,0,0,0,0,0.04079441760602265,0
40,L47219,1,0.3804347826086953,0.4197530864197603,0.1059371362048894,0.6689560439560439,0.4387351778656126,0,0,0,0,0,0,0.03931830381106499,0
41,L47220,1,0.3804347826086953,0.4197530864197603,0.1129220023282887,0.5714285714285714,0.4466403162055335,0,0,0,0,0,0,0.03931830381106499,0
42,L47221,1,0.3804347826086953,0.4197530864197603,0.1164144353899884,0.6456043956043955,0.4545454545454545,0,0,0,0,0,0,0.03931830381106499,0
43,M14902,2,0.3804347826086953,0.4197530864197603,0.1164144353899884,0.6222527472527473,0.4624505928853755,0,0,0,0,0,0,0.03931830381106499,0
44,H29457,0,0.3804347826086953,0.4320987654321016,0.1187427240977881,0.6140109890109889,0.4743083003952569,0,0,0,0,0,0,0.051663982823406285,0
45,M14904,2,0.3804347826086953,0.4197530864197603,0.1769499417927823,0.6002747252747253,0.4940711462450592,0,0,0,0,0,0,0.03931830381106499,0
46,L47225,1,0.3804347826086953,0.4197530864197603,0.1868451688009313,0.6222527472527473,0.5059288537549407,0,0,0,0,0,0,0.03931830381106499,0
47,M14906,2,0.3695652173912975,0.4074074074074119,0.3928987194412107,0.3021978021978022,0.5138339920948616,0,0,0,0,0,0,0.037842190016114385,0
48,L47227,1,0.3804347826086953,0.4197530864197603,0.1455180442374855,0.5837912087912087,0.525691699604743,0,0,0,0,0,0,0.03931830381106499,0
49,H29462,0,0.3804347826086953,0.4320987654321016,0.1495925494761351,0.6881868131868131,0.533596837944664,0,0,0,0,0,0,0.051663982823406285,0
50,M14909,2,0.3913043478260789,0.4320987654321016,0.1420256111757858,0.5535714285714285,0.5533596837944663,0,0,0,0,0,0,0.04079441760602265,0
51,L47230,1,0.3913043478260789,0.4197530864197603,0.9854481955762514,0.0109890109890109,0.5652173913043478,1,0,0,1,0,0,0.028448738593681355,1
52,L47231,1,0.3913043478260789,0.4197530864197603,0.1251455180442375,0.7019230769230769,0.5731225296442687,0,0,0,0,0,0,0.028448738593681355,0
53,H29466,0,0.3804347826086953,0.4074074074074119,0.1915017462165309,0.5494505494505494,0.5810276679841897,0,0,0,0,0,0,0.026972624798716593,0
54,L47233,1,0.3695652173912975,0.4074074074074119,0.2310826542491268,0.4299450549450549,0.6007905138339921,0,0,0,0,0,0,0.037842190016114385,0
55,L47234,1,0.3695652173912975,0.4074074074074119,0.3044237485448196,0.3612637362637363,0.608695652173913,0,0,0,0,0,0,0.037842190016114385,0
56,L47235,1,0.3804347826086953,0.4197530864197603,0.2002328288707799,0.5068681318681318,0.616600790513834,0,0,0,0,0,0,0.03931830381106499,0
57,L47236,1,0.3804347826086953,0.4197530864197603,0.179860302677532,0.5302197802197801,0.6245059288537549,0,0,0,0,0,0,0.03931830381106499,0
58,L47237,1,0.3804347826086953,0.4197530864197603,0.2008149010477299,0.5013736263736263,0.6324110671936758,0,0,0,0,0,0,0.03931830381106499,0
59,M14918,2,0.3804347826086953,0.4074074074074119,0.2869615832363213,0.353021978021978,0.6403162055335968,0,0,0,0,0,0,0.026972624798716593,0
60,L47239,1,0.3804347826086953,0.4197530864197603,0.1222351571594878,0.695054945054945,0.6521739130434783,0,0,0,0,0,0,0.03931830381106499,0
61,L47240,1,0.3804347826086953,0.4197530864197603,0.130966239813737,0.6703296703296703,0.6600790513833992,0,0,0,0,0,0,0.03931830381106499,0
62,M14921,2,0.3804347826086953,0.4074074074074119,0.2467986030267753,0.4725274725274725,0.6679841897233201,0,0,0,0,0,0,0.026972624798716593,0
63,L47242,1,0.3804347826086953,0.4074074074074119,0.3847497089639115,0.2623626373626374,0.6798418972332015,0,0,0,0,0,0,0.026972624798716593,0
64,M14923,2,0.3913043478260789,0.4074074074074119,0.3748544819557625,0.3035714285714285,0.6877470355731224,0,0,0,0,0,0,0.016103059581332957,0
65,L47244,1,0.4021739130434767,0.4197530864197603,0.2066356228172293,0.478021978021978,0.6996047430830039,0,0,0,0,0,0,0.017579173376283563,0
66,L47245,1,0.4021739130434767,0.4197530864197603,0.1315483119906868,0.5673076923076923,0.7075098814229248,0,0,0,0,0,0,0.017579173376283563,0
